Tiempo (sg),VolJet,CurrentJet (A),CapJet (Ah),VolMas,CurrentMas (A),CapMas (Ah),VolNav,CurrentNav (A),CapNav (Ah),VolGeo,CurrentGeo (A),CapGeo (Ah),VolSig,CurrentSig (A),CapSig (Ah)
1,7.88,0.899,0.0011,7.63,1.697,0.0007,7.71,1.098,0.0007,7.41,3.319,0.0014,7.67,2498.0,0.0012
2,7.88,0.899,0.0013,7.62,1.697,0.0011,7.72,1.098,0.001,7.42,3.319,0.0022,7.68,2498.0,0.0019
3,7.87,0.899,0.0015,7.62,1.697,0.0016,7.71,1.098,0.0013,7.43,3.319,0.0031,7.68,2498.0,0.0026
4,7.87,0.899,0.0018,7.62,1.697,0.002,7.72,1.098,0.0016,7.43,3.319,0.0039,7.69,2498.0,0.0034
5,7.87,0.899,0.0021,7.62,1.697,0.0026,7.72,1.098,0.0019,7.43,3.319,0.0051,7.69,2498.0,0.0041
6,7.87,0.899,0.0023,7.61,1.697,0.003,7.72,1.098,0.0022,7.42,3.319,0.0059,7.69,2498.0,0.0047
7,7.87,0.899,0.0025,7.61,1.697,0.0035,7.74,1.098,0.0025,7.41,3.319,0.0068,7.69,2498.0,0.0053
8,7.87,0.899,0.0028,7.61,1.697,0.0039,7.74,1.098,0.0029,7.41,3.319,0.0077,7.69,2498.0,0.0062
9,7.87,0.899,0.0031,7.61,1.697,0.0045,7.74,1.098,0.0032,7.42,3.319,0.0088,7.68,2498.0,0.0069
10,7.88,0.899,0.0033,7.61,1.697,0.0049,7.75,1.098,0.0034,7.42,3.319,0.0097,7.69,2498.0,0.0075
11,7.88,0.899,0.0036,7.61,1.697,0.0054,7.75,1.098,0.0037,7.43,3.319,0.0105,7.69,2498.0,0.0082
12,7.88,0.899,0.0038,7.61,1.697,0.0058,7.75,1.098,0.0041,7.44,3.319,0.0114,7.69,2498.0,0.0091
13,7.88,0.899,0.0041,7.61,1.697,0.0064,7.76,1.098,0.0044,7.44,3.319,0.0125,7.69,2498.0,0.0097
14,7.88,0.899,0.0043,7.6,1.697,0.0068,7.77,1.098,0.0047,7.44,3.319,0.0134,7.69,2498.0,0.0103
15,7.87,0.899,0.0046,7.6,1.697,0.0073,7.77,1.098,0.005,7.44,3.319,0.0143,7.69,2498.0,0.011
16,7.88,0.899,0.0048,7.6,1.697,0.0077,7.78,1.098,0.0053,7.44,3.319,0.0151,7.69,2498.0,0.0118
17,7.88,0.899,0.0051,7.6,1.697,0.0083,7.8,1.098,0.0056,7.44,3.319,0.0163,7.69,2498.0,0.0126
18,7.87,0.899,0.0053,7.6,1.697,0.0088,7.8,1.098,0.0059,7.43,3.319,0.0172,7.69,2499.0,0.0133
19,7.88,0.899,0.0056,7.6,1.697,0.0092,7.79,1.098,0.0062,7.43,3.319,0.018,7.69,2499.0,0.0139
20,7.88,0.899,0.0058,7.6,1.697,0.0096,7.8,1.098,0.0066,7.43,3.319,0.0189,7.69,2499.0,0.0145
21,7.88,0.899,0.0061,7.6,1.697,0.0102,7.8,1.098,0.0069,7.44,3.319,0.02,7.68,2499.0,0.0152
22,7.87,0.899,0.0063,7.6,1.697,0.0107,7.79,1.098,0.0072,7.45,3.319,0.0209,7.68,2499.0,0.016
23,7.86,0.899,0.0066,7.6,1.697,0.0111,7.79,1.098,0.0074,7.45,3.319,0.0217,7.68,2499.0,0.0167
24,7.86,0.899,0.0068,7.6,1.697,0.0115,7.78,1.098,0.0078,7.45,3.319,0.0226,7.68,2499.0,0.0173
25,7.86,0.899,0.0071,7.59,1.697,0.0121,7.78,1.098,0.0081,7.45,3.319,0.0238,7.67,2499.0,0.018
26,7.86,0.899,0.0074,7.59,1.697,0.0126,7.77,1.098,0.0084,7.45,3.319,0.0246,7.67,2499.0,0.0189
27,7.86,0.899,0.0076,7.59,1.697,0.013,7.77,1.098,0.0087,7.45,3.319,0.0255,7.68,2499.0,0.0195
28,7.86,0.899,0.0078,7.59,1.697,0.0135,7.77,1.098,0.0091,7.45,3.319,0.0264,7.68,2499.0,0.0202
29,7.86,0.899,0.0081,7.59,1.697,0.014,7.76,1.098,0.0093,7.45,3.319,0.0275,7.68,2499.0,0.0208
30,7.86,0.899,0.0084,7.59,1.697,0.0145,7.75,1.098,0.0096,7.45,3.319,0.0284,7.68,2499.0,0.0217
31,7.86,0.899,0.0086,7.59,1.697,0.0149,7.74,1.098,0.0099,7.45,3.319,0.0292,7.68,2499.0,0.0223
32,7.86,0.899,0.0088,7.59,1.697,0.0154,7.75,1.098,0.0103,7.45,3.319,0.0301,7.68,2499.0,0.023
33,7.86,0.899,0.0091,7.59,1.697,0.0159,7.76,1.098,0.0106,7.45,3.319,0.0312,7.68,2499.0,0.0236
34,7.86,0.899,0.0094,7.59,1.697,0.0164,7.75,1.098,0.0109,7.45,3.319,0.0321,7.68,2499.0,0.0245
35,7.85,0.899,0.0096,7.59,1.697,0.0168,7.75,1.098,0.0111,7.45,3.319,0.033,7.68,2499.0,0.0251
36,7.86,0.899,0.0098,7.59,1.697,0.0173,7.76,1.098,0.0115,7.44,3.319,0.0338,7.68,2499.0,0.0258
37,7.86,0.899,0.0102,7.59,1.697,0.0179,7.76,1.098,0.0118,7.45,3.319,0.035,7.68,2499.0,0.0264
38,7.85,0.899,0.0104,7.59,1.697,0.0183,7.76,1.098,0.0121,7.45,3.319,0.0358,7.68,2499.0,0.0273
39,7.86,0.899,0.0106,7.59,1.697,0.0187,7.77,1.098,0.0124,7.44,3.319,0.0367,7.68,2499.0,0.0279
40,7.86,0.899,0.0109,7.58,1.697,0.0192,7.76,1.098,0.0128,7.44,3.319,0.0375,7.68,2499.0,0.0286
41,7.86,0.899,0.0112,7.58,1.697,0.0198,7.77,1.098,0.0131,7.44,3.319,0.0387,7.68,2499.0,0.0293
42,7.87,0.899,0.0114,7.58,1.697,0.0202,7.78,1.098,0.0133,7.44,3.319,0.0396,7.68,2499.0,0.0301
43,7.87,0.899,0.0116,7.58,1.697,0.0207,7.77,1.098,0.0136,7.44,3.319,0.0404,7.68,2499.0,0.0308
44,7.87,0.899,0.0119,7.58,1.697,0.0211,7.78,1.098,0.014,7.44,3.319,0.0413,7.67,2499.0,0.0314
45,7.87,0.899,0.0121,7.58,1.697,0.0217,7.78,1.098,0.0143,7.44,3.319,0.0424,7.68,2499.0,0.0321
46,7.88,0.899,0.0124,7.58,1.697,0.0221,7.79,1.098,0.0146,7.44,3.319,0.0433,7.67,2499.0,0.0329
47,7.87,0.899,0.0126,7.58,1.697,0.0226,7.78,1.098,0.0148,7.44,3.319,0.0442,7.67,2499.0,0.0336
48,7.88,0.899,0.0129,7.58,1.697,0.023,7.78,1.098,0.0152,7.44,3.319,0.045,7.67,2499.0,0.0342
49,7.88,0.899,0.0132,7.58,1.697,0.0236,7.78,1.098,0.0155,7.44,3.319,0.0462,7.67,2499.0,0.0349
50,7.88,0.899,0.0134,7.58,1.697,0.024,7.78,1.098,0.0158,7.43,3.319,0.047,7.67,2499.0,0.0357
51,7.87,0.899,0.0137,7.58,1.697,0.0245,7.78,1.098,0.0161,7.43,3.319,0.0479,7.67,2499.0,0.0364
52,7.87,0.899,0.0139,7.58,1.697,0.0249,7.78,1.098,0.0165,7.43,3.319,0.0487,7.67,2499.0,0.037
53,7.88,0.899,0.0142,7.58,1.697,0.0255,7.78,1.098,0.0168,7.43,3.319,0.0499,7.67,2499.0,0.0377
54,7.87,0.899,0.0144,7.58,1.697,0.0259,7.77,1.098,0.017,7.43,3.319,0.0508,7.67,2499.0,0.0385
55,7.87,0.899,0.0147,7.58,1.697,0.0264,7.78,1.098,0.0173,7.43,3.319,0.0516,7.67,2499.0,0.0392
56,7.87,0.899,0.0149,7.58,1.697,0.0268,7.78,1.098,0.0177,7.43,3.319,0.0525,7.67,2499.0,0.0398
57,7.86,0.899,0.0152,7.57,1.697,0.0274,7.78,1.098,0.018,7.43,3.319,0.0536,7.67,2499.0,0.0405
58,7.86,0.899,0.0155,7.58,1.697,0.0278,7.81,1.098,0.0183,7.43,3.319,0.0545,7.67,2499.0,0.0414
59,7.86,0.899,0.0157,7.57,1.697,0.0283,7.84,1.098,0.0186,7.43,3.319,0.0554,7.67,2499.0,0.042
60,7.86,0.899,0.0159,7.57,1.697,0.0287,7.83,1.098,0.0189,7.43,3.319,0.0562,7.67,2499.0,0.0427
61,7.86,0.899,0.0162,7.57,1.697,0.0293,7.83,1.098,0.0192,7.42,3.319,0.0574,7.67,2499.0,0.0433
62,7.86,0.899,0.0165,7.57,1.697,0.0298,7.83,1.098,0.0195,7.42,3.319,0.0582,7.67,2499.0,0.0442
63,7.87,0.899,0.0167,7.57,1.697,0.0302,7.83,1.098,0.0198,7.42,3.319,0.0591,7.67,2499.0,0.0448
64,7.86,0.899,0.0169,7.57,1.697,0.0306,7.82,1.098,0.0202,7.42,3.319,0.0599,7.67,2499.0,0.0455
65,7.86,0.899,0.0172,7.57,1.697,0.0312,7.83,1.098,0.0205,7.42,3.319,0.0611,7.67,2499.0,0.0461
66,7.86,0.899,0.0175,7.57,1.697,0.0317,7.83,1.098,0.0207,7.42,3.319,0.062,7.66,2499.0,0.047
67,7.86,0.899,0.0177,7.57,1.697,0.0321,7.83,1.098,0.021,7.42,3.319,0.0628,7.66,2499.0,0.0476
68,7.87,0.899,0.0179,7.57,1.697,0.0325,7.83,1.098,0.0214,7.42,3.319,0.0637,7.66,2499.0,0.0483
69,7.87,0.899,0.0182,7.57,1.697,0.0331,7.83,1.098,0.0217,7.42,3.319,0.0648,7.66,2499.0,0.0489
70,7.87,0.899,0.0185,7.57,1.697,0.0336,7.83,1.098,0.022,7.42,3.319,0.0657,7.66,2499.0,0.0498
71,7.87,0.899,0.0187,7.57,1.697,0.034,7.83,1.098,0.0223,7.42,3.319,0.0666,7.67,2499.0,0.0504
72,7.87,0.899,0.019,7.57,1.697,0.0345,7.83,1.098,0.0226,7.42,3.319,0.0674,7.67,2499.0,0.0511
73,7.87,0.899,0.0193,7.57,1.697,0.035,7.83,1.098,0.0229,7.42,3.319,0.0686,7.66,2499.0,0.0517
74,7.86,0.899,0.0195,7.57,1.697,0.0355,7.82,1.098,0.0232,7.42,3.319,0.0694,7.66,2499.0,0.0526
75,7.86,0.899,0.0197,7.57,1.697,0.0359,7.83,1.098,0.0235,7.42,3.319,0.0703,7.67,2499.0,0.0533
